|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Hidden Context ActAvg,#Music Hidden ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,148,0.2639,0.05279,0.3,0.7,0.8129,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,149,0.4442,0.08883,0.5,0.5,0.6879,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,150,0.3512,0.07024,0.4,0.6,0.7513,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,151,0.4434,0.08869,0.5,0.5,0.6876,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,152,0.3535,0.0707,0.4,0.6,0.7506,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,153,0.4391,0.08781,0.5,0.5,0.6894,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,154,0.6201,0.124,0.7,0.3,0.5645,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,155,0.53,0.106,0.6,0.4,0.6266,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,156,0.1762,0.03523,0.2,0.8,0.8756,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,157,0.4846,0.09296,0.5,0.5,0.6665,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,158,0.08993,0.01799,0.1,0.9,0.937,0.4178,0.19,0.1324,0.095,0.15,0.2027,0.19,0.15
0,159,0.3519,0.07037,0.4,0.6,0.7504,0.4178,0.19,0.1325,0.095,0.15,0.2027,0.19,0.15
0,160,0.4425,0.0885,0.5,0.5,0.6882,0.4178,0.19,0.1326,0.095,0.15,0.2027,0.19,0.15
0,161,0.4419,0.08837,0.5,0.5,0.6877,0.4178,0.19,0.1326,0.095,0.15,0.2027,0.19,0.15
0,162,0.1755,0.0351,0.2,0.8,0.8749,0.4178,0.19,0.1326,0.095,0.15,0.2027,0.19,0.15
0,163,0.3542,0.07084,0.4,0.6,0.7507,0.4178,0.19,0.1327,0.095,0.15,0.2027,0.19,0.15
0,164,0.6178,0.1236,0.7,0.3,0.5645,0.4178,0.19,0.1327,0.095,0.15,0.2027,0.19,0.15
0,165,0.3565,0.07129,0.4,0.6,0.7499,0.4178,0.19,0.1328,0.095,0.15,0.2028,0.19,0.15
0,166,0.2635,0.05269,0.3,0.7,0.8131,0.4178,0.19,0.1328,0.095,0.15,0.2028,0.19,0.15
0,167,0.4454,0.08908,0.5,0.5,0.6879,0.4178,0.19,0.1328,0.095,0.15,0.2028,0.19,0.15
0,168,0.5271,0.1054,0.6,0.4,0.6273,0.4178,0.19,0.1328,0.095,0.15,0.2028,0.19,0.15
0,169,0.266,0.05319,0.3,0.7,0.8125,0.4178,0.19,0.1328,0.095,0.15,0.2028,0.19,0.15
0,170,0.532,0.1064,0.6,0.4,0.6264,0.4178,0.19,0.1329,0.095,0.15,0.2028,0.19,0.15
0,171,0.5323,0.1065,0.6,0.4,0.6259,0.4178,0.19,0.1329,0.095,0.15,0.2028,0.19,0.15
0,172,0.1736,0.03472,0.2,0.8,0.8756,0.4178,0.19,0.1329,0.095,0.15,0.2029,0.19,0.15
0,173,0.4424,0.08849,0.5,0.5,0.689,0.4178,0.19,0.1329,0.095,0.15,0.2029,0.19,0.15
0,174,0.2833,0.05665,0.4,0.6,0.7935,0.4178,0.19,0.1329,0.095,0.15,0.2029,0.19,0.15
0,175,0.4442,0.08885,0.5,0.5,0.6884,0.4178,0.19,0.1329,0.095,0.15,0.2029,0.19,0.15
0,176,0.6175,0.1235,0.7,0.3,0.565,0.4178,0.19,0.1329,0.095,0.15,0.2029,0.19,0.15
0,177,0.3541,0.07081,0.4,0.6,0.7505,0.4178,0.19,0.1329,0.095,0.15,0.203,0.19,0.15
0,178,0.4446,0.08891,0.5,0.5,0.6885,0.4178,0.19,0.1329,0.095,0.15,0.203,0.19,0.15
0,179,0.5273,0.1055,0.6,0.4,0.6274,0.4178,0.19,0.1329,0.095,0.15,0.203,0.19,0.15
0,180,0.3568,0.07136,0.4,0.6,0.7502,0.4178,0.19,0.1329,0.095,0.15,0.203,0.19,0.15
0,181,0.4399,0.08797,0.5,0.5,0.6893,0.4178,0.19,0.1329,0.095,0.15,0.203,0.19,0.15
0,182,0.3516,0.07032,0.4,0.6,0.7513,0.4178,0.19,0.1329,0.095,0.15,0.2031,0.19,0.15
0,183,0.528,0.1056,0.6,0.4,0.6274,0.4178,0.19,0.1329,0.095,0.15,0.2031,0.19,0.15
0,184,0.3563,0.07126,0.4,0.6,0.7502,0.4178,0.19,0.1329,0.095,0.15,0.2031,0.19,0.15
0,185,0.4397,0.08795,0.5,0.5,0.6893,0.4178,0.19,0.1329,0.095,0.15,0.2031,0.19,0.15
0,186,0.2643,0.05285,0.3,0.7,0.8134,0.4178,0.19,0.133,0.095,0.15,0.2032,0.19,0.15
0,187,0.4445,0.0889,0.5,0.5,0.6881,0.4178,0.19,0.133,0.095,0.15,0.2032,0.19,0.15
0,188,0.462,0.0904,0.6,0.4,0.679,0.4178,0.19,0.133,0.095,0.15,0.2032,0.19,0.15
0,189,0.2641,0.05282,0.3,0.7,0.8135,0.4178,0.19,0.133,0.095,0.15,0.2032,0.19,0.15
0,190,0.3548,0.07097,0.4,0.6,0.7511,0.4178,0.19,0.133,0.095,0.15,0.2033,0.19,0.15
0,191,0.2839,0.05679,0.4,0.6,0.7929,0.4178,0.19,0.1331,0.095,0.15,0.2033,0.19,0.15
0,192,0.1788,0.03575,0.2,0.8,0.8749,0.4178,0.19,0.1331,0.095,0.15,0.2033,0.19,0.15
0,193,0.4423,0.08845,0.5,0.5,0.6888,0.4178,0.19,0.1331,0.095,0.15,0.2033,0.19,0.15
0,194,0.1937,0.03875,0.3,0.7,0.857,0.4178,0.19,0.1332,0.095,0.15,0.2033,0.19,0.15
0,195,0.4426,0.08852,0.5,0.5,0.6885,0.4178,0.19,0.1332,0.095,0.15,0.2034,0.19,0.15
0,196,0.3564,0.07127,0.4,0.6,0.7502,0.4178,0.19,0.1333,0.095,0.15,0.2034,0.19,0.15
0,197,0.195,0.03901,0.3,0.7,0.8552,0.4178,0.19,0.1333,0.095,0.15,0.2034,0.19,0.15
0,198,0.3532,0.07063,0.4,0.6,0.751,0.4178,0.19,0.1333,0.095,0.15,0.2034,0.19,0.15
0,199,0.442,0.0884,0.5,0.5,0.689,0.4178,0.19,0.1333,0.095,0.15,0.2035,0.19,0.15
